subject,condition,reaction_time,first_fixation,choice,mean_choice_by_condition
1,eleven-five,1.0996100000002116,eleven,0,0.375
1,ten-four,0.5825199999999313,four,1,0.75
1,seven-one,0.9218699999992168,seven,0,0.125
1,eight-two,0.6469700000006924,eight,0,0.125
1,eleven-five,1.2944299999999203,five,1,0.375
1,nine-three,0.8398500000002969,nine,0,0.0
1,twelve-six,1.1972599999999147,six,1,1.0
1,twelve-six,0.663579999999456,six,1,1.0
1,nine-three,1.213380000000143,nine,0,0.0
1,ten-four,1.100100000000566,four,1,0.75
1,ten-four,1.0190400000001318,four,1,0.75
1,nine-three,1.3095699999994395,nine,0,0.0
1,twelve-six,0.4204100000006292,six,1,1.0
1,twelve-six,0.9706999999998516,six,1,1.0
1,nine-three,1.1650399999998626,nine,0,0.0
1,eleven-five,1.1318300000002637,eleven,0,0.375
1,eight-two,0.9223700000002282,eight,0,0.125
1,seven-one,0.56641000000036,seven,0,0.125
1,ten-four,0.7919899999997142,four,1,0.75
1,eleven-five,0.9863299999997253,eleven,0,0.375
1,eight-two,1.1162100000001374,eight,0,0.125
1,seven-one,0.7763599999998405,seven,0,0.125
1,seven-one,1.0029300000005605,seven,0,0.125
1,eight-two,0.7128899999997884,eight,0,0.125
1,eleven-five,0.6796899999999368,five,1,0.375
1,ten-four,0.7119099999999889,ten,0,0.75
1,seven-one,0.5981400000000576,one,1,0.125
1,eight-two,1.309570000000349,two,1,0.125
1,eleven-five,0.77636000000075,five,1,0.375
1,nine-three,0.4047899999995934,nine,0,0.0
1,twelve-six,1.6494199999997363,six,1,1.0
1,twelve-six,0.5981400000000576,six,1,1.0
1,nine-three,1.002929999999651,nine,0,0.0
1,ten-four,1.0996100000002116,ten,0,0.75
6,eleven-five,3.9956099999999424,eleven,0,0.375
6,ten-four,0.8256799999999203,four,1,1.0
6,eight-two,1.9247999999997774,eight,0,0.125
6,seven-one,1.0517600000002858,seven,0,0.125
6,eleven-five,1.002929999999651,eleven,0,0.375
6,seven-one,1.3251899999995658,one,1,0.125
6,twelve-six,1.47266000000036,twelve,0,0.75
6,nine-three,1.3261699999993652,nine,0,0.125
6,ten-four,0.38721000000077765,four,1,1.0
6,twelve-six,2.6362300000000687,six,1,0.75
6,eight-two,1.1489300000002913,eight,0,0.125
6,nine-three,0.9702099999994971,three,1,0.125
6,nine-three,0.9868099999994229,nine,0,0.125
6,eight-two,0.8574200000002747,two,1,0.125
6,twelve-six,1.1484399999999368,twelve,0,0.75
6,ten-four,1.4555700000000797,four,1,1.0
6,nine-three,1.278320000000349,nine,0,0.125
6,twelve-six,1.681640000000698,six,1,0.75
6,seven-one,1.6811500000003434,seven,0,0.125
6,eleven-five,3.9311500000003434,five,1,0.375
6,seven-one,1.342279999999846,seven,0,0.125
6,eight-two,0.7602500000002692,eight,0,0.125
6,ten-four,1.310059999999794,four,1,1.0
6,eleven-five,1.3906200000001263,eleven,0,0.375
6,eleven-five,1.407720000000154,five,1,0.375
6,ten-four,0.872559999999794,four,1,1.0
6,eight-two,1.0034200000000055,eight,0,0.125
6,seven-one,0.6630900000000111,seven,0,0.125
6,eleven-five,0.7763599999998405,eleven,0,0.375
6,seven-one,0.5170900000002803,seven,0,0.125
6,twelve-six,0.840820000000349,six,1,0.75
6,nine-three,0.9536099999995713,nine,0,0.125
6,ten-four,0.7280300000002171,four,1,1.0
6,twelve-six,0.8735400000005029,six,1,0.75
6,eight-two,0.6958000000004176,eight,0,0.125
6,nine-three,0.7436500000003434,nine,0,0.125
6,nine-three,0.9052799999999479,nine,0,0.125
6,eight-two,0.7929699999995137,eight,0,0.125
6,twelve-six,1.0996100000002116,six,1,0.75
6,ten-four,0.840820000000349,four,1,1.0
6,nine-three,0.7441399999997884,nine,0,0.125
6,twelve-six,0.7114199999996345,six,1,0.75
6,seven-one,0.9384700000000521,seven,0,0.125
6,eleven-five,1.245119999999588,five,1,0.375
6,seven-one,1.2460900000005495,seven,0,0.125
6,eight-two,0.7280299999993076,eight,0,0.125
6,ten-four,1.2451099999998405,four,1,1.0
6,eleven-five,0.9545899999993708,eleven,0,0.375
22,nine-three,0.5824599999999691,nine,0,0.125
22,eight-two,0.5980500000000006,eight,0,0.25
22,eight-two,0.6469999999999914,eight,0,0.25
22,nine-three,0.4691100000000006,nine,0,0.125
22,eleven-five,0.7116399999999885,eleven,0,0.75
22,seven-one,1.229159999999979,seven,0,0.0
22,twelve-six,0.6143500000000017,six,1,1.0
22,ten-four,0.5983299999999758,four,1,0.625
22,twelve-six,1.0513299999999504,six,1,1.0
22,eleven-five,1.2131100000000288,five,1,0.75
22,ten-four,0.7442399999999907,ten,0,0.625
22,seven-one,0.43684999999999263,seven,0,0.0
22,seven-one,0.7600100000000225,seven,0,0.0
22,ten-four,0.6463600000000156,four,1,0.625
22,eleven-five,0.5663800000000379,five,1,0.75
22,twelve-six,0.35523000000000593,six,1,1.0
22,ten-four,1.2131299999999783,four,1,0.625
22,twelve-six,0.8088399999999751,six,1,1.0
22,seven-one,0.7927300000000059,seven,0,0.0
22,eleven-five,0.6144700000000398,five,1,0.75
22,nine-three,0.7440199999999777,nine,0,0.125
22,eight-two,1.6175499999999943,two,1,0.25
22,eight-two,0.9057900000000245,eight,0,0.25
22,nine-three,0.7598500000000286,nine,0,0.125
22,nine-three,0.7119199999999637,nine,0,0.125
22,eight-two,0.6790399999999863,eight,0,0.25
22,eight-two,0.6632099999999923,eight,0,0.25
22,nine-three,0.9219999999999118,three,1,0.125
22,eleven-five,0.5662899999999809,eleven,0,0.75
22,seven-one,0.5989999999999327,seven,0,0.0
22,twelve-six,0.5335700000000543,six,1,1.0
22,ten-four,0.6790099999999484,four,1,0.625
22,twelve-six,0.9055799999999863,six,1,1.0
22,eleven-five,1.1313499999999976,five,1,0.75
22,ten-four,0.5983300000000327,ten,0,0.625
22,seven-one,1.2130799999999908,seven,0,0.0
22,seven-one,0.5819699999999557,seven,0,0.0
22,ten-four,0.5979599999999436,four,1,0.625
22,eleven-five,1.1324500000000626,five,1,0.75
22,twelve-six,0.7764300000000048,six,1,1.0
22,ten-four,0.6953199999999242,ten,0,0.625
22,twelve-six,1.1969000000000278,six,1,1.0
22,seven-one,0.7116600000000517,seven,0,0.0
22,eleven-five,0.6958600000000388,five,1,0.75
22,nine-three,0.5657400000000052,nine,0,0.125
22,eight-two,0.6307999999999083,eight,0,0.25
22,eight-two,1.2292999999999665,two,1,0.25
22,nine-three,0.5335699999999406,nine,0,0.125
10,nine-three,1.4399999999999409,nine,0,0.0
10,ten-four,1.358699999999999,ten,0,0.375
10,seven-one,0.6788999999999987,seven,0,0.0
10,eleven-five,0.8895299999999224,eleven,0,0.75
10,twelve-six,1.5527299999999968,six,1,0.75
